,frequency_mhz
31469,122.8
31470,126.125
31470,119.55
31470,120.0
31470,124.3
31470,122.8
31471,122.9
31472,122.8
31473,133.45
31473,123.0
31474,125.4
31474,122.9
31475,122.9
31476,122.8
31477,122.9
31478,122.8
31479,135.875
31479,122.8
31481,122.9
31482,125.85
31482,122.8
31483,125.85
31483,122.8
31484,125.85
31484,122.8
31485,132.5
31485,122.9
31486,122.9
31487,122.9
31488,122.9
31489,133.5
31489,122.8
31490,122.8
31491,121.1
31491,122.8
31492,122.2
31492,122.8
31493,132.05
31493,122.2
31493,122.7
31494,122.9
31495,122.9
31496,122.9
31497,119.025
31497,123.0
31498,119.4
31498,122.7
31499,125.47
31499,122.7
31501,122.9
31501,122.45
31502,122.9
31503,126.75
31503,122.8
31504,120.55
31504,122.8
31505,128.325
31505,124.45
31505,123.0
31506,122.9
31508,121.1
31508,118.775
31508,122.9
31509,121.125
31509,120.4
31509,123.075
31510,122.9
31511,122.9
31512,124.2
31512,122.8
31513,119.325
31513,120.2
31513,122.725
31514,119.4
31514,123.0
31515,127.6
31515,109.6
31515,122.8
31516,124.1
31516,119.75
31516,122.8
31517,122.9
31519,124.6
31519,122.8
31520,120.2
31520,122.8
31521,122.8
31522,122.9
31523,126.1
31523,122.8
31524,122.9
31525,122.7
31526,122.9
31527,133.5
31527,122.9
31528,119.525
31528,122.8
31529,122.9
31530,126.1
31530,122.9
31531,120.8
31531,123.0
31532,125.75
31532,122.8
31534,124.2
31534,122.8
31535,125.4
31535,133.525
31535,122.9
31536,127.85
31536,122.9
31537,122.8
31538,127.35
31538,122.8
31539,122.9
31540,127.5
31540,122.9
31541,122.9
31542,122.9
31543,127.5
31543,122.8
31544,132.5
31544,122.9
31545,124.15
31545,115.2
31545,123.0
31546,122.8
31547,123.0
31548,122.9
31550,118.225
31550,123.05
31551,119.425
31551,122.8
31552,122.9
31553,121.2
31553,122.8
31554,118.925
31554,122.8
31555,125.0
31555,133.525
31555,122.8
31556,122.8
31557,119.0
31557,122.8
31558,124.1
31558,121.725
31558,123.0
31560,121.35
31560,122.8
31561,118.4
31561,122.5
31561,123.0
31562,119.35
31562,122.9
31563,128.5
31563,122.8
31564,122.8
31565,122.9
31566,122.8
31567,118.15
31567,128.1
31567,122.7
31568,128.1
31568,122.9
31569,122.9
31570,126.1
31570,120.725
31570,125.6
31570,122.8
31571,126.35
31571,125.7
31571,122.8
31572,118.6
31572,125.65
31572,122.725
31573,122.9
31574,125.35
31574,123.0
31575,126.5
31575,122.8
31576,118.375
31576,127.7
31576,109.0
31576,122.8
31578,122.9
31579,125.45
31579,122.8
31580,122.85
31582,133.75
31582,122.8
31583,122.8
31584,122.9
31585,120.45
